Year,Make,Model,transmission,mileage,price,Year,Make,Model
1990,Chevy,  ,            automatic,147000,2000,1990,Chevy,
1976,Chevy,Blazer  ,            manual,0,6500,1976,Chevy,Blazer
1990,jeep,wrangler  ,            automatic,NA,10000,1990,jeep,wrangler
1980,cj7,jeep  ,            automatic,NA,7000,1980,cj7,jeep
1934,Ford,cabriolet  ,            automatic,0,15000,1934,Ford,cabriolet
2000,Jeep,Grand Cherokee Limited,            automatic,186000,1500,2000,Jeep,Grand Cherokee Limited
1958,Plymouth,  ,            other,NA,1,1958,Plymouth,
1990,BMW,750 IL ,            automatic,165000,2500,1990,BMW,750 IL
2013,chevrolet,suburban  ,            automatic,81000,35000,2013,chevrolet,suburban
2009,Honda,Accord  ,            automatic,107685,10000,2009,Honda,Accord
1994,lincoln,continental  ,            automatic,NA,1250,1994,lincoln,continental
1996,Honda,Accord  ,            manual,140000,1700,1996,Honda,Accord
1972,mgb,gt  ,            manual,NA,6500,1972,mgb,gt
2001,ford,focus se ,            manual,167000,3200,2001,ford,focus se
1991,isuzu,  ,            manual,NA,750,1991,isuzu,
1962,ford,ranchero  ,            automatic,NA,1750,1962,ford,ranchero
1972,mg,  ,            manual,NA,NA,1972,mg,
1992,honda,accord  ,            automatic,NA,1900,1992,honda,accord
2004,Saturn,L300  ,            automatic,NA,2500,2004,Saturn,L300
1991,Chevrolet,s10 blazer ,            automatic,NA,1000,1991,Chevrolet,s10 blazer
2004,volkswagen,gti  ,            manual,116704,5500,2004,volkswagen,gti
1997,saturn,sl  ,            automatic,92000,2500,1997,saturn,sl
2012,Nissan,Armada  ,            automatic,33400,24595,2012,Nissan,Armada
1973,amc,ambassador Station Wagon,            automatic,103000,3500,1973,amc,ambassador Station Wagon
2013,toyota,tacoma prerunner ,            automatic,26000,27500,2013,toyota,tacoma prerunner
2008,nissan,altima  ,            automatic,86000,7989,2008,nissan,altima
2013,Dodge,Avenger SE ,            automatic,NA,8888,2013,Dodge,Avenger SE
1983,VW,Westphalia  ,            manual,NA,10000,1983,VW,Westphalia
2002,Toyota,Tacoma  ,            automatic,169796,7995,2002,Toyota,Tacoma
2010,toyota,tundra 2wd truck,            automatic,46100,21000,2010,toyota,tundra 2wd truck
2003,Dodge,Cummins 3500 ,            automatic,128000,19800,2003,Dodge,Cummins 3500
1984,isuzu,  ,            automatic,84000,2000,1984,isuzu,
2007,cadillac,escalade ext ,            automatic,NA,20000,2007,cadillac,escalade ext
2004,Ford,F-150  ,            automatic,157868,11500,2004,Ford,F-150
2007,Chevy,2500,            automatic,NA,NA,2007,Chevy,2500
2001,buick,century  ,            automatic,NA,1800,2001,buick,century
1994,ford,f150  ,            manual,142000,3000,1994,ford,f150
2004,Cadillac,Deville  ,            automatic,130000,4000,2004,Cadillac,Deville
2002,Mercedes,Benz mL320 ,            automatic,213000,2000,2002,Mercedes,Benz mL320
2015,ford,mustang convertible gt,            automatic,7200,34750,2015,ford,mustang convertible gt
1999,infiniti,q45  ,            automatic,102,4500,1999,infiniti,q45
2001,Toyota,Sequoia  ,            automatic,255000,6000,2001,Toyota,Sequoia
1974,Chevrolet,C10  ,            manual,NA,3800,1974,Chevrolet,C10
1980,Chevrolet,Custom Deluxe ,            manual,64242,2400,1980,Chevrolet,Custom Deluxe
1966,ford,mustang  ,            automatic,NA,17500,1966,ford,mustang
2004,cadillac,cts  ,            automatic,143000,4800,2004,cadillac,cts
2012,Chevrolet,Sonic  ,NA,NA,NA,2012,Chevrolet,Sonic
2001,Dodge,ram  ,            automatic,NA,1400,2001,Dodge,ram
2016,Toyota,Corolla  ,            automatic,19004,NA,2016,Toyota,Corolla
1977,ford,f-250  ,            automatic,NA,7000,1977,ford,f-250
2015,Cadillac,ATS Sedan ,NA,23345,NA,2015,Cadillac,ATS Sedan
2013,Toyota,Prius  ,NA,NA,NA,2013,Toyota,Prius
2009,Nissan,cube krom ,            automatic,66000,4500,2009,Nissan,cube krom
2005,chevy,colorado  ,            manual,133500,7500,2005,chevy,colorado
2005,Ford,Mustang GT ,            manual,99,8800,2005,Ford,Mustang GT
2005,C230,  ,            automatic,NA,NA,2005,C230,
2017,All,  ,            automatic,NA,NA,2017,All,
2011,Ford,Mustang GT Premium,            automatic,64000,17900,2011,Ford,Mustang GT Premium
1997,Ford,F-350  ,            automatic,270000,10000,1997,Ford,F-350
2013,chevy,silverado 2500hd ,            automatic,94000,34000,2013,chevy,silverado 2500hd
1987,GMC,  ,            automatic,NA,2800,1987,GMC,
1974,1974,FORD  ,            manual,NA,4800,1974,1974,FORD
1997,Ford,f150  ,            manual,173000,3600,1997,Ford,f150
1965,ford,f-150  ,            automatic,NA,4500,1965,ford,f-150
2005,Subaru,Impreza  ,            manual,150000,5500,2005,Subaru,Impreza
2012,Toyota,Prius C2 ,            automatic,113500,8700,2012,Toyota,Prius C2
2002,jeep,liberty  ,            automatic,142052,6000,2002,jeep,liberty
2012,chevy,camaro ss ,            manual,17800,37500,2012,chevy,camaro ss
2002,subaru,impreza sedan wrx,            manual,NA,6500,2002,subaru,impreza sedan wrx
