"price","Year","Make","Model","mileage","transmission","titlestatus","condition","drive","fuel","paintcolor","size"
19500,2008,"Toyota","Tacoma","            88084","            automatic","            clean","            excellent",NA,"            gas","           paint color: red","            mid-size"
NA,2009,"kia","optima","            128000","            automatic","            clean","            good","            fwd","            gas","           paint color: grey","            compact"
19900,2010,"jeep","wrangler unlimited","            106","            manual","            clean","            excellent","            4wd","            gas","           paint color: red","            full-size"
31995,2012,"Chevrolet","Camaro 2SS Coupe","            38100","            other","            clean",NA,"            rwd","            gas",NA,NA
700,1998,"Toyota","Corolla","            160000","            automatic","            clean","            fair",NA,"            gas","           paint color: red","            compact"
3900,2008,"KIA","SPECTRA EX",NA,"            automatic","            clean",NA,NA,"            gas",NA,NA
4900,2005,"Chevy","express 3500",NA,"            automatic","            clean",NA,NA,"            gas",NA,NA
3400,2005,"honda","civic ex","            161000","            automatic","            clean","            good",NA,"            gas",NA,NA
11500,2006,"Jeep","Wrangler","            119795","            manual","            clean","            excellent","            4wd","            gas","           paint color: silver","            mid-size"
10722,2014,"Nissan","Versa","            35771","            automatic","            clean",NA,"            fwd","            gas","           paint color: grey","            sub-compact"
2700,2007,"ford","focus se","            130","            automatic","            clean","            excellent",NA,"            gas",NA,NA
8600,2009,"honda","accord 2-door coupe","            75","            automatic","            clean","            like new","            fwd","            gas","           paint color: grey","            mid-size"
13000,2006,"chrysler","300c srt-8","            107350","            automatic","            clean","            excellent","            rwd","            gas","           paint color: black","            full-size"
5500,2008,"DODGE","MAGNUM",NA,"            automatic","            salvage",NA,NA,"            gas",NA,NA
18780,2014,"Nissan","Rogue","            25497","            automatic","            clean",NA,"            4wd","            gas","           paint color: blue","            compact"
2400,1997,"Toyota","Camry","            246000","            automatic","            clean","            excellent","            fwd","            gas",NA,NA
12400,1979,"Ford","bronco","            20000","            automatic","            clean",NA,NA,"            gas",NA,NA
7500,2005,"dodge","caravan",NA,"            automatic","            clean",NA,NA,"            gas",NA,NA
NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
