"price","Year","Make","Model","mileage","transmission","titlestatus","condition","drive","fuel","paintcolor","size"
16887,2013,"Chevrolet","Traverse","            79093","            automatic","            clean",NA,NA,"            gas",NA,NA
20949,2016,"Chrysler","Town &amp; Country","            24214","            automatic","            clean",NA,NA,"            gas","           paint color: black",NA
16488,2011,"Ford","F-150","            115774","            automatic","            clean",NA,"            4wd","            gas","           paint color: white",NA
20949,2016,"Chrysler","Town &amp; Country","            14841","            automatic","            clean",NA,NA,"            gas","           paint color: white",NA
19495,2016,"Chrysler","Town &amp; Country","            25532","            automatic","            clean",NA,NA,"            gas","           paint color: silver",NA
10500,2012,"Ford","Escape XLS","            69278","            automatic","            clean",NA,"            fwd","            gas","           paint color: red",NA
22257,2010,"Jeep","Wrangler Unlimited","            97343","            automatic","            clean",NA,NA,"            gas","           paint color: black",NA
19495,2016,"Chrysler","Town &amp; Country","            22991","            automatic","            clean",NA,NA,"            gas","           paint color: white",NA
13499,2015,"Nissan","Altima","            30841","            automatic","            clean",NA,NA,"            gas",NA,NA
11989,2015,"Dodge","Dart","            24963","            automatic","            clean",NA,NA,"            gas",NA,NA
NA,1997,"GMC","Jimmy",NA,"            automatic","            parts only",NA,NA,"            gas",NA,NA
39999,2015,"Ford","Lifted F150 Lariat 4x4 gas","            51460","            automatic","            clean",NA,"            4wd","            gas","           paint color: white",NA
19495,2016,"Chrysler","Town &amp; Country","            26277","            automatic","            clean",NA,NA,"            gas","           paint color: silver",NA
19495,2016,"Chrysler","Town &amp; Country","            25538","            automatic","            clean",NA,NA,"            gas","           paint color: white",NA
3000,2006,"Jeep","Liberty",NA,"            automatic","            clean",NA,NA,"            gas",NA,NA
31277,2007,"GMC","Sierra 2500 SLT 4dr Crew Cab",NA,"            automatic","            clean",NA,"            4wd","            diesel","           paint color: black",NA
4999,2008,"Ford","Focus","            116989","            automatic","            clean",NA,"            fwd","            gas","           paint color: silver",NA
19495,2016,"Chrysler","Town &amp; Country","            23823","            automatic","            clean",NA,NA,"            gas","           paint color: silver",NA
19495,2016,"Chrysler","Town &amp; Country","            24158","            automatic","            clean",NA,NA,"            gas","           paint color: white",NA
19495,2016,"Chrysler","Town &amp; Country","            22991","            automatic","            clean",NA,NA,"            gas","           paint color: white",NA
13499,2015,"Nissan","Altima","            30841","            automatic","            clean",NA,NA,"            gas",NA,NA
11989,2015,"Dodge","Dart","            24963","            automatic","            clean",NA,NA,"            gas",NA,NA
NA,1997,"GMC","Jimmy",NA,"            automatic","            parts only",NA,NA,"            gas",NA,NA
39999,2015,"Ford","Lifted F150 Lariat 4x4 gas","            51460","            automatic","            clean",NA,"            4wd","            gas","           paint color: white",NA
19495,2016,"Chrysler","Town &amp; Country","            26277","            automatic","            clean",NA,NA,"            gas","           paint color: silver",NA
19495,2016,"Chrysler","Town &amp; Country","            25538","            automatic","            clean",NA,NA,"            gas","           paint color: white",NA
3000,2006,"Jeep","Liberty",NA,"            automatic","            clean",NA,NA,"            gas",NA,NA
31277,2007,"GMC","Sierra 2500 SLT 4dr Crew Cab",NA,"            automatic","            clean",NA,"            4wd","            diesel","           paint color: black",NA
4999,2008,"Ford","Focus","            116989","            automatic","            clean",NA,"            fwd","            gas","           paint color: silver",NA
19495,2016,"Chrysler","Town &amp; Country","            23823","            automatic","            clean",NA,NA,"            gas","           paint color: silver",NA
19495,2016,"Chrysler","Town &amp; Country","            24158","            automatic","            clean",NA,NA,"            gas","           paint color: white",NA
3977,2002,"Ford","Mustang",NA,"            automatic","            clean",NA,"            rwd","            gas",NA,NA
